iter	Passed	Remaining
445	1198	1489
446	1201	1486
447	1204	1483
448	1206	1480
449	1209	1478
450	1211	1474
451	1214	1472
452	1218	1471
453	1221	1469
454	1224	1466
455	1227	1463
456	1229	1461
457	1232	1458
458	1234	1455
459	1236	1451
460	1239	1448
461	1241	1445
462	1243	1442
463	1247	1440
464	1249	1437
465	1251	1434
466	1254	1431
467	1256	1428
468	1258	1425
469	1261	1422
470	1264	1419
471	1266	1416
472	1269	1413
473	1271	1411
474	1275	1409
475	1278	1406
476	1280	1404
477	1283	1401
478	1285	1397
479	1288	1395
480	1290	1392
481	1293	1389
482	1295	1386
483	1298	1384
484	1300	1380
485	1302	1377
486	1305	1374
487	1309	1373
488	1311	1370
489	1315	1368
490	1317	1366
491	1320	1363
492	1323	1360
493	1325	1357
494	1328	1355
495	1330	1352
496	1333	1349
497	1335	1346
498	1338	1343
499	1340	1340
500	1343	1337
501	1346	1335
502	1349	1333
503	1352	1331
504	1354	1328
505	1357	1325
506	1359	1322
507	1362	1319
508	1364	1316
509	1367	1313
510	1369	1310
511	1372	1308
512	1376	1306
513	1381	1305
514	1383	1302
515	1385	1299
516	1388	1297
517	1390	1294
518	1393	1291
519	1396	1288
520	1398	1285
521	1401	1283
522	1404	1281
523	1408	1279
524	1410	1275
525	1412	1273
526	1415	1270
527	1417	1267
528	1420	1264
529	1423	1262
530	1425	1259
531	1428	1256
532	1430	1253
533	1433	1250
534	1435	1247
535	1438	1244
536	1440	1241
537	1442	1239
538	1445	1236
539	1447	1233
540	1450	1230
541	1452	1227
542	1455	1224
543	1457	1222
544	1462	1221
545	1465	1218
546	1467	1215
547	1470	1213
548	1473	1210
549	1475	1207
550	1478	1204
551	1480	1201
552	1483	1199
553	1486	1196
554	1492	1196
555	1495	1193
556	1497	1191
557	1500	1188
558	1503	1186
559	1505	1183
560	1508	1180
561	1510	1177
562	1513	1174
563	1515	1171
564	1519	1170
565	1522	1167
566	1525	1164
567	1527	1161
568	1530	1159
569	1532	1156
570	1535	1153
571	1537	1150
572	1540	1147
573	1543	1145
574	1545	1142
575	1548	1140
576	1551	1137
577	1554	1135
578	1557	1132
579	1559	1129
580	1562	1126
581	1564	1123
582	1566	1120
583	1569	1117
584	1571	1114
585	1574	1112
586	1576	1109
587	1582	1109
588	1585	1106
589	1589	1104
590	1591	1101
591	1593	1098
592	1597	1096
593	1599	1093
594	1602	1090
595	1604	1087
596	1607	1084
597	1610	1082
598	1612	1079
599	1615	1076
600	1617	1074
601	1622	1072
602	1625	1069
603	1627	1067
604	1630	1064
605	1632	1061
606	1635	1058
607	1638	1056
608	1643	1054
609	1646	1052
610	1648	1049
611	1651	1047
612	1655	1045
613	1657	1042
614	1660	1039
615	1662	1036
616	1664	1033
617	1667	1030
618	1669	1027
619	1672	1024
620	1676	1023
621	1679	1020
622	1682	1018
623	1685	1015
624	1688	1012
625	1690	1010
626	1692	1007
627	1695	1004
628	1698	1001
629	1700	998
630	1703	996
631	1705	993
632	1709	991
633	1712	988
634	1715	986
635	1719	984
636	1722	981
637	1725	978
638	1727	976
639	1730	973
640	1732	970
641	1735	968
642	1738	965
643	1741	962
644	1744	960
645	1746	957
646	1749	954
647	1751	951
648	1755	949
649	1757	946
650	1760	943
651	1763	941
652	1765	938
653	1768	935
654	1771	932
655	1775	930
656	1777	927
657	1780	925
658	1782	922
659	1785	919
660	1787	916
661	1790	914
662	1792	911
663	1794	908
664	1797	905
665	1800	902
666	1802	899
667	1805	897
668	1807	894
669	1809	891
670	1812	888
671	1815	886
672	1818	883
673	1821	880
674	1824	878
675	1827	875
676	1830	873
677	1832	870
678	1835	867
679	1837	864
680	1839	861
681	1842	859
682	1844	856
683	1848	853
684	1850	850
685	1855	849
686	1858	846
687	1861	843
688	1863	841
689	1866	838
690	1868	835
691	1871	832
692	1873	830
693	1876	827
694	1878	824
695	1880	821
696	1883	818
697	1886	816
698	1888	813
699	1890	810
700	1893	807
701	1896	804
702	1898	802
703	1901	799
704	1903	796
705	1906	793
706	1908	791
707	1911	788
708	1914	785
709	1917	783
710	1920	780
711	1922	777
712	1925	775
713	1928	772
714	1931	769
715	1933	766
716	1935	764
717	1938	761
718	1941	758
719	1944	756
720	1947	753
721	1949	750
722	1951	747
723	1954	745
724	1956	742
725	1959	739
726	1962	736
727	1964	733
728	1966	731
729	1969	728
730	1971	725
731	1975	723
732	1977	720
733	1980	717
734	1982	714
735	1984	711
736	1987	709
737	1989	706
738	1991	703
739	1995	700
740	1997	698
741	1999	695
742	2002	692
743	2005	690
744	2007	687
745	2010	684
746	2012	681
747	2014	678
748	2016	675
749	2019	673
750	2021	670
751	2023	667
752	2026	664
753	2029	662
754	2031	659
755	2034	656
756	2037	654
757	2039	651
758	2042	648
759	2044	645
760	2047	642
761	2049	640
762	2052	637
763	2055	634
764	2058	632
765	2061	629
766	2063	626
767	2066	624
768	2068	621
769	2071	618
770	2075	616
771	2077	613
772	2080	610
773	2082	608
774	2085	605
775	2087	602
776	2090	599
777	2092	597
778	2095	594
779	2097	591
780	2100	589
781	2103	586
782	2105	583
783	2108	580
784	2110	578
785	2113	575
786	2115	572
787	2118	569
788	2120	567
789	2122	564
790	2135	564
791	2137	561
792	2140	558
793	2143	556
794	2145	553
795	2148	550
796	2151	547
797	2153	545
798	2157	542
799	2163	540
800	2166	538
801	2169	535
802	2176	533
803	2178	531
804	2184	529
805	2186	526
806	2189	523
807	2191	520
808	2194	518
809	2197	515
810	2199	512
811	2201	509
812	2204	507
813	2207	504
814	2209	501
815	2212	498
816	2214	496
817	2221	494
818	2224	491
819	2226	488
820	2229	485
821	2231	483
822	2233	480
823	2236	477
824	2239	474
825	2241	472
826	2244	469
827	2246	466
828	2249	463
829	2252	461
830	2255	458
831	2257	455
832	2259	453
833	2262	450
834	2265	447
835	2268	445
836	2272	442
837	2275	439
838	2278	437
839	2281	434
840	2283	431
841	2286	429
842	2294	427
843	2297	424
844	2299	421
845	2301	418
846	2303	416
847	2305	413
848	2308	410
849	2311	407
850	2314	405
851	2316	402
852	2319	399
853	2321	396
854	2324	394
855	2326	391
856	2329	388
857	2332	385
858	2334	383
859	2337	380
860	2339	377
861	2342	375
862	2345	372
863	2347	369
864	2350	366
865	2352	364
866	2354	361
867	2357	358
868	2359	355
869	2361	352
870	2367	350
871	2370	347
872	2373	345
873	2375	342
874	2378	339
875	2382	337
876	2384	334
877	2387	331
878	2389	328
879	2392	326
880	2394	323
881	2397	320
882	2399	317
883	2401	315
884	2404	312
885	2407	309
886	2410	307
887	2413	304
888	2415	301
889	2418	298
890	2421	296
891	2424	293
892	2427	290
893	2430	288
894	2433	285
895	2435	282
896	2438	279
897	2441	277
898	2444	274
899	2446	271
900	2449	269
901	2452	266
902	2455	263
903	2458	261
904	2461	258
905	2464	255
906	2466	252
907	2469	250
908	2471	247
909	2474	244
910	2477	242
911	2481	239
912	2483	236
913	2485	233
914	2488	231
915	2490	228
916	2493	225
917	2496	222
918	2498	220
919	2501	217
920	2503	214
921	2505	211
922	2508	209
923	2511	206
924	2513	203
925	2516	201
926	2518	198
927	2520	195
928	2523	192
929	2525	190
930	2528	187
931	2531	184
932	2534	181
933	2536	179
934	2539	176
935	2541	173
936	2544	171
937	2546	168
938	2549	165
939	2551	162
940	2554	160
941	2556	157
942	2559	154
943	2562	151
944	2564	149
945	2567	146
946	2569	143
947	2572	141
948	2574	138
949	2577	135
950	2579	132
951	2581	130
952	2583	127
953	2586	124
954	2588	121
955	2591	119
956	2593	116
957	2596	113
958	2598	111
959	2600	108
960	2603	105
961	2606	102
962	2608	100
963	2611	97
964	2614	94
965	2616	92
966	2619	89
967	2621	86
968	2623	83
969	2626	81
970	2628	78
971	2631	75
972	2634	73
973	2636	70
974	2639	67
975	2642	64
976	2644	62
977	2646	59
978	2649	56
979	2652	54
980	2654	51
981	2656	48
982	2659	45
983	2661	43
984	2664	40
985	2667	37
986	2669	35
987	2671	32
988	2674	29
989	2677	27
990	2679	24
991	2682	21
992	2684	18
993	2687	16
994	2689	13
995	2692	10
996	2694	8
997	2697	5
998	2700	2
999	2702	0
