iter	Logloss
0	0.6821194491
1	0.6725236235
2	0.663730655
3	0.6541617814
4	0.6458479836
5	0.637886426
6	0.6286889545
7	0.6226772097
8	0.6160449543
9	0.6109349079
10	0.6030583711
11	0.5957653282
12	0.5892458882
13	0.5848461094
14	0.5787806866
15	0.5735048333
16	0.5684188602
17	0.5622407288
18	0.5583168081
19	0.5523360377
20	0.5476333683
21	0.5435170544
22	0.5402496763
23	0.5362437487
24	0.53258564
25	0.5298228347
26	0.526005047
27	0.5218315614
28	0.5192058837
29	0.5157636963
30	0.5124658468
31	0.510072366
32	0.5067939282
33	0.5044646152
34	0.5018983065
35	0.500128074
36	0.4981242521
37	0.4958276839
38	0.4937031482
39	0.4917722518
40	0.4894911304
41	0.487914953
42	0.4858217163
43	0.4838560213
44	0.4817968328
45	0.4803341446
46	0.4783212137
47	0.4768761398
48	0.4745467554
49	0.4722002392
50	0.4699193057
51	0.4683789164
52	0.4669222094
53	0.4660634899
54	0.4644478525
55	0.4624116304
56	0.4606606842
57	0.4591588822
58	0.4574187715
59	0.4556699991
60	0.454195884
61	0.45305671
62	0.4518763065
63	0.4504345667
64	0.4488550722
65	0.4477998844
66	0.4465018036
67	0.4454091164
68	0.4444071569
69	0.4435657187
70	0.4423615789
71	0.4415180398
72	0.4406254371
73	0.4394534181
74	0.4380617001
75	0.4370735299
76	0.436182853
77	0.4351257079
78	0.4345288647
79	0.4333522173
80	0.432545438
81	0.4314847366
82	0.430764638
83	0.4297925311
84	0.428853658
85	0.4281489982
86	0.427395889
87	0.426793739
88	0.4257127435
89	0.4249556326
90	0.4240283683
91	0.4233280143
92	0.4227025564
93	0.4222489645
94	0.4216728182
95	0.4211876852
96	0.4206441192
97	0.4202245275
98	0.4195775714
99	0.4190279681
100	0.4185924084
101	0.4181309537
102	0.4176103587
103	0.4172221048
104	0.4165999263
105	0.415829371
106	0.4148859014
107	0.4141965878
108	0.4136557161
109	0.412959103
110	0.4125699044
111	0.411913696
112	0.4115077429
113	0.4111661235
114	0.4107158432
115	0.4098761594
116	0.4095032277
117	0.4089098099
118	0.4081140157
119	0.4077294712
120	0.407473609
121	0.4069248954
122	0.406265434
123	0.4057794983
124	0.4054163837
125	0.4051338794
126	0.4045085427
127	0.4041052699
128	0.4037406633
129	0.4031466829
130	0.4028454762
131	0.4025291223
132	0.4021318178
133	0.4017873009
134	0.4013832869
135	0.4008511008
136	0.4005949682
137	0.3999481844
138	0.3993612312
139	0.3990454144
140	0.3986638314
141	0.3983575779
142	0.3980063413
143	0.3974106127
144	0.3969698482
145	0.3965522594
146	0.3960773348
147	0.3956149266
148	0.3952435486
149	0.3949532641
150	0.3946539597
151	0.3942990229
152	0.3939261079
153	0.3937174994
154	0.3933364851
155	0.3930914426
156	0.392872567
157	0.3925901808
158	0.3921447044
159	0.3917870431
160	0.3914982881
161	0.3912445807
162	0.3909241878
163	0.3907279919
164	0.3903858617
165	0.3900814076
166	0.3897438205
167	0.3895927888
168	0.3893629011
169	0.3891559717
170	0.3888500464
171	0.388510867
172	0.3882413077
173	0.3876623538
174	0.3872084399
175	0.3869615098
176	0.3866145977
177	0.3863700879
178	0.3861506058
179	0.385926831
180	0.3856339925
181	0.385463658
182	0.3851747897
183	0.3848008389
184	0.3844560212
185	0.3841564073
186	0.3838891218
187	0.383642368
188	0.3833768856
189	0.3832497078
190	0.3829533443
191	0.3826795012
192	0.3825211832
193	0.3820120092
194	0.3817208647
195	0.3813216388
196	0.3809960868
197	0.3806043982
198	0.3802522986
199	0.3799233706
200	0.3796818249
201	0.3794635336
202	0.3792483955
203	0.3790205
204	0.3788645847
205	0.3786349336
206	0.3784579884
207	0.3782736371
208	0.3781834988
209	0.3779147101
210	0.3775771119
211	0.3774098205
212	0.3771852377
213	0.3770238111
214	0.3766116533
215	0.3764137209
216	0.3761979
217	0.3757328085
218	0.3754743383
219	0.3753085324
220	0.375125661
221	0.374903882
222	0.3746455264
223	0.3744595288
224	0.3742505231
225	0.3740083602
226	0.3735530085
227	0.3732433888
228	0.3730567539
229	0.3729177831
230	0.3726515322
231	0.3725134889
232	0.3722984043
233	0.3720749486
234	0.3719557299
235	0.3717173909
236	0.3715576947
237	0.3713622281
238	0.371093204
239	0.3709508352
240	0.3706793204
241	0.3705947389
242	0.3704703047
243	0.3702684492
244	0.3701033132
245	0.369853285
246	0.3697526631
247	0.3696090056
248	0.3694326438
249	0.3692476638
250	0.3689245782
251	0.368717613
252	0.3685388
253	0.3682573131
254	0.3680586934
255	0.3677793176
256	0.3676273444
257	0.3674603144
258	0.3673416381
259	0.367184004
260	0.3670403887
261	0.3668898659
262	0.3666467174
263	0.3664846818
264	0.3662647633
265	0.366040216
266	0.3659187456
267	0.3657373179
268	0.3655537239
269	0.3652146137
270	0.3649814886
271	0.3647657555
272	0.364561053
273	0.3644080805
274	0.3643184148
275	0.3640787073
276	0.3638805404
277	0.3636283179
278	0.3634898137
279	0.3632056723
280	0.3631085966
281	0.3629796106
282	0.3628260384
283	0.3626583605
284	0.3625253504
285	0.3624626272
286	0.3623432746
287	0.362200494
288	0.3620458981
289	0.3619322242
290	0.3616542847
291	0.3615220671
292	0.3614189515
293	0.3613360513
294	0.3612156375
295	0.3607912095
296	0.3606282449
297	0.3604842513
298	0.3602315211
299	0.3600003432
300	0.359933866
301	0.3598047711
302	0.3597157544
303	0.3595978148
304	0.3594882393
305	0.3593415806
306	0.3591148344
307	0.358983815
308	0.3587244864
309	0.3585100321
310	0.358395068
311	0.3582370467
312	0.3581565932
313	0.3579229314
314	0.357757816
315	0.3575660997
316	0.3574230168
317	0.357296826
318	0.357177339
319	0.3569378247
320	0.3567586857
321	0.3566308173
322	0.3564937974
323	0.3564140529
324	0.3561263196
325	0.3559540547
326	0.3558578923
327	0.3557396547
328	0.3555753438
329	0.3554558
330	0.3552408314
331	0.3550635932
332	0.3549543578
333	0.3548223594
334	0.3547401396
335	0.354527299
336	0.3542603925
337	0.3541447117
338	0.3540029428
339	0.3538241787
340	0.3536749476
341	0.353515383
342	0.3533355369
343	0.3531412178
344	0.3530369586
345	0.3529601296
346	0.3528010744
347	0.3527129031
348	0.35255899
349	0.3523643874
350	0.3521970699
351	0.3520636673
352	0.3519942776
353	0.3518520098
354	0.3516809831
355	0.3515326463
356	0.3514224476
357	0.3513251994
358	0.3511222914
359	0.3509735148
360	0.3508549786
361	0.3506533689
362	0.3505307194
363	0.3503642943
364	0.3503175847
365	0.3502248978
366	0.3501340181
367	0.3499325387
368	0.3497665674
369	0.3496208966
370	0.3495160735
371	0.3493463434
372	0.3492404097
373	0.3491495176
374	0.3488655342
375	0.3487067717
376	0.348571466
377	0.3484269118
378	0.3483371396
379	0.3481991129
380	0.3480240394
381	0.3478725136
382	0.3477030757
383	0.3476075663
384	0.3475211949
385	0.3474136914
386	0.3472884525
387	0.3471607967
388	0.3470050843
389	0.3469139738
390	0.3467633455
391	0.3465553024
392	0.3463984575
393	0.3462312111
394	0.3460664096
395	0.3459046204
396	0.3458192527
397	0.3456801338
398	0.345572849
399	0.3453351113
400	0.3451870333
401	0.3450394911
402	0.3447990009
403	0.3446836822
404	0.3446011
405	0.3444555546
406	0.3443127398
407	0.3441426681
408	0.3440553786
409	0.3438458621
